BSG	AF	Ani	Ecc	EqD	prolif1	prolif2	alp	ars	vAF	vAni	vEcc	vEqD	tlength	tvolume	tnodes	scr	ulength	uarea	uvolume	vlength	varea	vvolume
5	0.000026	0.721895	0.849644	4.06843	0.684936	0.896554	0.788379	0.645198	0.803801	0.337091	0.07479	0.408202	1.168029	1.161302	1.299528	0.875376	0.78672	2.219234	1.600032	1.192595	1.748567	2.008865
5	0.000015	0.596949	0.772625	5.86323	0.477464	1.468289	0.413272	1.010371	0.803965	0.420772	0.391301	0.789795	1.166781	1.159422	1.300968	1.677044	0.372211	2.069168	1.626559	0.901672	1.885367	2.201775
5	0.00012	0.592729	0.769889	5.75363	0.678487	1.225495	0.317128	0.917147	1.16162	0.278166	0.294179	0.020827	5.726547	1.156313	0.556179	0.068638	0.754187	2.360275	1.111444	0.807765	1.090919	1.354928
5	0.000022	0.569785	0.754841	5.04627	0.950965	0.753488	0.413272	0.634898	0.804162	0.396464	0.088997	0.386549	1.167266	1.160675	1.3005	0.632116	1.146628	2.119271	1.617455	0.903762	1.7257	1.754855
20	0.00003	0.628377	0.792702	6.38308	0.481507	0.792242	0.113533	0.654311	1.448499	0.387926	0.290764	0.90773	0.591338	0.753912	1.63544	0.713416	0.731751	2.644367	0.608704	0.858884	2.051987	0.222677
5	0.000022	0.662933	0.814207	1.95441	0.68205	0.296274	1.570966	0.917147	1.031859	0.476139	0.217679	0.817106	1.169454	1.163015	1.297422	0.632116	2.680639	1.976782	1.619696	0.035563	1.470586	1.774735
10	0.000073	0.625	0.790569	3.56825	1.329433	0.752735	0.779258	0.103117	1.919855	0.411327	0.40458	1.49405	0.831387	0.353686	1.815369	0.875376	0.943762	1.394167	2.143501	1.264978	1.912445	1.872328
20	0.000178	0.867597	0.931449	4.51352	0.622006	0.159977	0.10768	0.78463	0.897684	0.423393	0.088997	0.654735	1.204394	0.991015	1.218218	0.875376	0.687688	3.193433	2.225119	0.714063	2.84223	1.789983
10	0.000053	0.456686	0.675785	2.76395	0.522737	0.779243	0.791617	0.637535	1.038584	0.278166	0.289971	0.922553	1.028163	0.64911	1.815644	0.632116	0.059534	0.966338	2.424282	1.192594	1.590162	2.280517
20	0.000083	0.610949	0.781632	4.51352	0.481507	0.789468	0.787464	0.658729	0.949267	0.670913	0.38452	0.697036	1.19617	0.607032	1.385634	1.677044	0.429588	2.880096	2.495772	0.136925	2.12604	1.810181
